Experiment Number,compress,maxStreams,sourceDatabasetoTargetDatabase,tables,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:01.049,TRACE,<1074:MainThread> logger.py:81,"Created test table: ""24f649105c2b49eea9ee2da38428725d"" on host: 206.12.95.67"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:21.932,TRACE,<1074:MainThread> logger.py:81,"Inserted a verification key into ""24f649105c2b49eea9ee2da38428725d"" on host 206.12.95.67"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:21.933,INFO,<1074:MainThread> single_machine_validator.py:123,All target hosts point to the same machine
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:21.933,INFO,<1074:MainThread> single_machine_validator.py:92,Checking whether source host is the same as target
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:22.073,DEBUG,<1074:MainThread> single_machine_validator.py:128,Source and target are located on different machines
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:37.577,TRACE,<1074:MainThread> logger.py:81,"Removed test table: ""24f649105c2b49eea9ee2da38428725d"" on host: 206.12.95.67"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:37.578,DEBUG,<1074:MainThread> migration_runner.py:244,Verifying db2 version on source...
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:37.716,INFO,<1074:MainThread> migration_runner.py:247,db2 version on source: 11.5.9.0
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:37.716,DEBUG,<1074:MainThread> migration_runner.py:258,Verifying db2 version on target...
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:53.950,INFO,<1074:MainThread> migration_runner.py:261,db2 version on target: 11.5.9.0
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:53.952,INFO,<1074:MainThread> db_handler.py:1028,"Getting {('DB2INST1', 'TEST')} sizes from the database."
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.716,DEBUG,<1074:MainThread> db_handler.py:1033,Query for getting table sizes took: 0:00:00.763540
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.716,DEBUG,<1074:MainThread> db_handler.py:1053,"Table size processing took: -1 day, 23:59:59.999164"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.717,DEBUG,<1074:MainThread> table_splitter.py:68,"Big tables: [(('DB2INST1', 'TEST'), 0.25)]"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.717,DEBUG,<1074:MainThread> table_splitter.py:70,Small tables: []
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.717,DEBUG,<1074:MainThread> scenario.py:120,Big workers number: 1
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.717,DEBUG,<1074:MainThread> scenario.py:121,Small workers number: 0.
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.721,INFO,<1074:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.722,INFO,<1074:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.722,INFO,<1074:MainThread> query_executor.py:93,Db2 driver has not been provided by user. Searching in default locations.
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:54.722,INFO,<1074:MainThread> query_executor.py:97,Using db2 driver libdb2.so from system loadable library path
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:55.732,INFO,<1126:MainThread> base_migration.py:230,Starting the transferring process...
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,------------------------------------------------------------------------------------------
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:55.732,TRACE,<1126:MainThread> logger.py:81,"""DB2INST1"".""TEST"" -> ""DB2INST1"".""TEST"""
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:55.732,INFO,<1126:MainThread> base_migration.py:147,"Searching for ""DB2INST1"".""TEST"" (tables) on source..."
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:30:56.023,INFO,<1126:MainThread> base_migration.py:155,"Searching for ""DB2INST1"".""TEST"" (tables) on target..."
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:25.876,TRACE,<1126:MainThread> logger.py:81,"""DB2INST1"".""TEST"" was found"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:37.979,INFO,<1126:MainThread> column_compatibility_checker.py:97,Source and target table have an equal number of columns (9)
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:37.980,INFO,<1126:MainThread> column_compatibility_checker.py:109,Column compatibility check succeeded
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:38.274,INFO,<1126:MainThread> datasliced_migration.py:165,"Preparing to unload ""DB2INST1"".""TEST""..."
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:38.274,DEBUG,<1126:MainThread> datasliced_migration.py:171,Chunk.000 100 rows (1 slices)
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:38.274,TRACE,<1126:MainThread> logger.py:81,Job.1: 0
