Experiment Number,file,stream,compressionType,limit,totalTransferTime,TotalClearTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
4,DS_003.csv,3,gzip,104857600,83.44542217254639,0,0,0,0,0.30260729789733887,0.12106800079345703,0.10086909929911296,165.77916359901428,70.36168813705444,55.259721199671425,18.259965181350708,6.154565334320068,6.086655060450236,9.818866729736328,5.199389457702637,3.272955576578776,488086980,179511741
5,DS_003.csv,3,gzip,104857600,89.75896906852722,0,0,0,0,0.30187439918518066,0.12900686264038086,0.10062479972839355,169.55776166915894,75.5297622680664,56.51925388971964,18.773718118667603,6.5771098136901855,6.257906039555867,9.813700437545776,5.262319803237915,3.2712334791819253,488086980,179511741
average,DS_003.csv,3,gzip,104857600,85.60891957283022,0,0,0,0,0.293211030960083,0.12098798751831055,0.09773701032002767,178.82434763908387,71.3635160446167,59.60811587969462,18.467360162734984,6.3410468101501465,6.155786720911663,9.021207141876221,4.817331075668335,3.0070690472920734,488086980,179511741
1,DS_003.csv,3,lz4,104857600,115.69430565834045,0,0,0,0,0.31648874282836914,0.12199139595031738,0.10549624760945638,300.17414379119873,108.80181336402893,100.05804793039958,1.0564155578613281,0.358717679977417,0.3521385192871094,6.892159700393677,3.408088445663452,2.297386566797892,488086980,272526888
2,DS_003.csv,3,lz4,104857600,125.42629671096802,0,0,0,0,0.3160116672515869,0.1181936264038086,0.10533722241719563,300.1538414955139,114.87665700912476,100.05128049850464,1.0474214553833008,0.35451793670654297,0.3491404851277669,10.548917531967163,5.608460426330566,3.516305843989054,488086980,272526888
3,DS_003.csv,3,lz4,104857600,122.05981850624084,0,0,0,0,0.32783985137939453,0.12013125419616699,0.10927995045979817,311.0552308559418,114.97910761833191,103.68507695198059,1.0506970882415771,0.36037707328796387,0.3502323627471924,10.268758296966553,5.365872383117676,3.422919432322184,488086980,272526888
4,DS_003.csv,3,lz4,104857600,116.21610832214355,0,0,0,0,0.26023006439208984,0.0894479751586914,0.08674335479736328,304.25156354904175,110.40892577171326,101.41718784968059,1.1002445220947266,0.37170982360839844,0.3667481740315755,4.5282721519470215,1.5139265060424805,1.509424050649007,488086980,272526888
5,DS_003.csv,3,lz4,104857600,118.34707117080688,0,0,0,0,0.3278350830078125,0.1240386962890625,0.10927836100260417,303.661838054657,109.59628653526306,101.22061268488567,1.0391368865966797,0.35094356536865234,0.34637896219889325,10.489080667495728,5.508144378662109,3.4963602224985757,488086980,272526888
average,DS_003.csv,3,lz4,104857600,119.54872007369995,0,0,0,0,0.3096810817718506,0.11476058959960937,0.10322702725728353,303.85932354927064,111.7325580596924,101.2864411830902,1.0587831020355225,0.35925321578979497,0.35292770067850754,8.545437669754028,4.2808984279632565,2.8484792232513425,488086980,272526888
1,DS_003.csv,5,None,104857600,189.920574426651,0,0,0,0,0.50992751121521,0.10969662666320801,0.101985502243042,816.0794100761414,181.2213156223297,163.21588201522826,0,0,0.0,27.27712631225586,9.580095529556274,5.455425262451172,488086980,488086980
2,DS_003.csv,5,None,104857600,196.09218645095825,0,0,0,0,0.5788514614105225,0.13968658447265625,0.11577029228210449,866.8206508159637,184.54855132102966,173.36413016319275,0,0,0.0,20.156444311141968,7.547248840332031,4.0312888622283936,488086980,488086980
3,DS_003.csv,5,None,104857600,188.37902069091797,0,0,0,0,0.5262253284454346,0.12975573539733887,0.10524506568908691,820.1316032409668,180.1950261592865,164.02632064819335,0,0,0.0,20.07198405265808,7.747615814208984,4.014396810531617,488086980,488086980
